product;profile;fitting;filling;lamination;configuration;id
1;1;1;1;1;1;1
1;1;1;1;2;1;2
1;1;1;1;3;1;3
1;1;1;2;1;1;4
1;1;1;2;2;1;5
1;1;1;2;3;1;6
1;2;1;1;1;1;7
1;2;1;1;2;1;8
1;2;1;1;3;1;9
1;2;1;2;1;1;10
1;2;1;2;2;1;11
1;2;1;2;3;1;12
1;3;1;1;1;1;13
1;3;1;1;2;1;14
1;3;1;1;3;1;15
1;3;1;2;1;1;16
1;3;1;2;2;1;17
1;3;1;2;3;1;18
1;4;1;1;1;1;19
1;4;1;1;2;1;20
1;4;1;1;3;1;21
1;4;1;2;1;1;22
1;4;1;2;2;1;23
1;4;1;2;3;1;24
1;1;1;1;1;2;25
1;1;1;1;2;2;26
1;1;1;1;3;2;27
1;1;1;2;1;2;28
1;1;1;2;2;2;29
1;1;1;2;3;2;30
1;2;1;1;1;2;31
1;2;1;1;2;2;32
1;2;1;1;3;2;33
1;2;1;2;1;2;34
1;2;1;2;2;2;35
1;2;1;2;3;2;36
1;3;1;1;1;2;37
1;3;1;1;2;2;38
1;3;1;1;3;2;39
1;3;1;2;1;2;40
1;3;1;2;2;2;41
1;3;1;2;3;2;42
1;4;1;1;1;2;43
1;4;1;1;2;2;44
1;4;1;1;3;2;45
1;4;1;2;1;2;46
1;4;1;2;2;2;47
1;4;1;2;3;2;48
1;1;1;1;1;3;49
1;1;1;1;2;3;50
1;1;1;1;3;3;51
1;1;1;2;1;3;52
1;1;1;2;2;3;53
1;1;1;2;3;3;54
1;2;1;1;1;3;55
1;2;1;1;2;3;56
1;2;1;1;3;3;57
1;2;1;2;1;3;58
1;2;1;2;2;3;59
1;2;1;2;3;3;60
1;3;1;1;1;3;61
1;3;1;1;2;3;62
1;3;1;1;3;3;63
1;3;1;2;1;3;64
1;3;1;2;2;3;65
1;3;1;2;3;3;66
1;4;1;1;1;3;67
1;4;1;1;2;3;68
1;4;1;1;3;3;69
1;4;1;2;1;3;70
1;4;1;2;2;3;71
1;4;1;2;3;3;72
1;1;1;1;1;4;73
1;1;1;1;2;4;74
1;1;1;1;3;4;75
1;1;1;2;1;4;76
1;1;1;2;2;4;77
1;1;1;2;3;4;78
1;2;1;1;1;4;79
1;2;1;1;2;4;80
1;2;1;1;3;4;81
1;2;1;2;1;4;82
1;2;1;2;2;4;83
1;2;1;2;3;4;84
1;3;1;1;1;4;85
1;3;1;1;2;4;86
1;3;1;1;3;4;87
1;3;1;2;1;4;88
1;3;1;2;2;4;89
1;3;1;2;3;4;90
1;4;1;1;1;4;91
1;4;1;1;2;4;92
1;4;1;1;3;4;93
1;4;1;2;1;4;94
1;4;1;2;2;4;95
1;4;1;2;3;4;96
1;1;1;1;1;5;97
1;1;1;1;2;5;98
1;1;1;1;3;5;99
1;1;1;2;1;5;100
1;1;1;2;2;5;101
1;1;1;2;3;5;102
1;2;1;1;1;5;103
1;2;1;1;2;5;104
1;2;1;1;3;5;105
1;2;1;2;1;5;106
1;2;1;2;2;5;107
1;2;1;2;3;5;108
1;3;1;1;1;5;109
1;3;1;1;2;5;110
1;3;1;1;3;5;111
1;3;1;2;1;5;112
1;3;1;2;2;5;113
1;3;1;2;3;5;114
1;4;1;1;1;5;115
1;4;1;1;2;5;116
1;4;1;1;3;5;117
1;4;1;2;1;5;118
1;4;1;2;2;5;119
1;4;1;2;3;5;120
1;1;1;1;1;6;121
1;1;1;1;2;6;122
1;1;1;1;3;6;123
1;1;1;2;1;6;124
1;1;1;2;2;6;125
1;1;1;2;3;6;126
1;2;1;1;1;6;127
1;2;1;1;2;6;128
1;2;1;1;3;6;129
1;2;1;2;1;6;130
1;2;1;2;2;6;131
1;2;1;2;3;6;132
1;3;1;1;1;6;133
1;3;1;1;2;6;134
1;3;1;1;3;6;135
1;3;1;2;1;6;136
1;3;1;2;2;6;137
1;3;1;2;3;6;138
1;4;1;1;1;6;139
1;4;1;1;2;6;140
1;4;1;1;3;6;141
1;4;1;2;1;6;142
1;4;1;2;2;6;143
1;4;1;2;3;6;144
1;1;1;1;1;7;145
1;1;1;1;2;7;146
1;1;1;1;3;7;147
1;1;1;2;1;7;148
1;1;1;2;2;7;149
1;1;1;2;3;7;150
1;2;1;1;1;7;151
1;2;1;1;2;7;152
1;2;1;1;3;7;153
1;2;1;2;1;7;154
1;2;1;2;2;7;155
1;2;1;2;3;7;156
1;3;1;1;1;7;157
1;3;1;1;2;7;158
1;3;1;1;3;7;159
1;3;1;2;1;7;160
1;3;1;2;2;7;161
1;3;1;2;3;7;162
1;4;1;1;1;7;163
1;4;1;1;2;7;164
1;4;1;1;3;7;165
1;4;1;2;1;7;166
1;4;1;2;2;7;167
1;4;1;2;3;7;168
1;1;1;1;1;8;169
1;1;1;1;2;8;170
1;1;1;1;3;8;171
1;1;1;2;1;8;172
1;1;1;2;2;8;173
1;1;1;2;3;8;174
1;2;1;1;1;8;175
1;2;1;1;2;8;176
1;2;1;1;3;8;177
1;2;1;2;1;8;178
1;2;1;2;2;8;179
1;2;1;2;3;8;180
1;3;1;1;1;8;181
