;;;;;"Документ подготовлен в программе ""Optima WIN"". (C)";;;;;;;;;;
;www.altec.ru;;;;;"ООО ""Алтек"", 1996-2009.";;;;;;;;;
;;;;;;Прайс-лист;;;;;;;;;
;;;1;;;;;;;;;;;;
;499;750;1000;1250;1500;1750;2000;;;;;;;;
499;0;0;0;0;0;0;0;;;;;;;;
750;0;1.53;1.8;2.13;2.4;2.68;2.97;;;;;;;;
1000;0;1.8;2.13;2.4;2.73;3.04;3.35;;;;;;;;
1250;0;2.07;2.4;2.73;3.07;3.4;3.74;;;;;;;;
1500;0;2.33;2.67;3.07;3.4;3.76;4.11;;;;;;;;
1750;0;2.6;2.97;3.37;3.73;4.11;4.49;;;;;;;;
2000;0;2.86;3.26;3.68;4.07;4.47;4.87;;;;;;;;
;;;;;;;;;;;;;;;Страница 1 из 1
