;;;;;"Документ подготовлен в программе ""Optima WIN"". (C)";;;;;
;www.altec.ru;;;;;"ООО ""Алтек"", 1996-2009.";;;;
;;;;;;Прайс-лист;;;;
;;;1;;;;;;;
;999;1200;1400;1600;1800;2000;2200;2400;2600;2800
499;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
700;0.00;9.47;10.20;11.53;11.93;12.47;13.20;13.73;13.87;14.40
900;0.00;10.60;11.27;12.33;12.93;13.47;14.27;14.80;15.27;15.87
1100;0.00;11.53;12.33;13.47;14.67;15.33;16.00;16.67;16.80;17.47
1300;0.00;12.53;13.47;14.67;16.00;16.67;17.40;18.07;18.87;19.53
1500;0.00;13.87;14.80;16.00;16.80;17.53;18.47;19.20;20.67;21.40
1700;0.00;15.07;16.07;17.33;18.27;19.13;20.07;20.87;22.00;22.87
1900;0.00;17.00;18.07;18.47;19.47;20.33;21.33;22.20;23.00;23.87
2100;0.00;18.33;19.60;20.07;20.53;21.47;22.53;23.47;24.67;25.60
2300;0.00;19.47;20.60;21.13;22.27;23.27;24.40;25.33;26.27;27.20

;;;;;;;;;;;;;;;Страница 1 из 1
