"";

"";;;;

"";;"700";"850";"1000";"1150";"1300";"1450";"1600";"1750";"1900";"2050";"2200";
"700";;"77";"167";"172";"181";"189";"197";"230";"238";"254";"263";"272";
"850";;"88";"177";"183";"193";"203";"213";"242";"252";"269";"278";"289";
"1000";;"99";"192";"199";"211";"222";"234";"260";"271";"289";"299";"311";
"1150";;"110";"207";"217";"230";"242";"255";"286";"297";"316";"328";"340";
"1300";;"120";"221";"232";"246";"259";"272";"304";"317";"336";"349";"362";
"1450";;"131";"234";"245";"261";"275";"289";"320";"333";"354";"367";"382";
"1600";;"144";"251";"264";"280";"295";"311";"341";"356";"377";"392";"407";
"1750";;"156";"274";"287";"305";"321";"337";"374";"390";"412";"428";"445";
"1900";;"168";"288";"302";"321";"338";"355";"392";"409";"432";"449";"467";
"2050";;"180";"330";"346";"365";"383";"401";"406";"424";"448";"465";"484";
"2200";;"192";"357";"373";"394";"413";"432";"445";"464";"489";"508";"528";
